Date,Adj_Close,Close,High,Low,Open,Volume,Symbol,ema_12_Adj_Close,Adj_Close,Close,High,Low,Open,Volume,Symbol,ema_26_Adj_Close,macd,ema_9_macd,sig,sig_diff
2016-02-22,706.460022,706.460022,713.23999,702.51001,707.450012,1949800.0,GOOG,700.3925803859665,706.460022,706.460022,713.23999,702.51001,707.450012,1949800.0,GOOG,707.3123330223444,-6.919752636377893,-9.340844432194457,,2.4210917958165634
2016-02-23,695.849976,695.849976,708.400024,693.580017,701.450012,2009300.0,GOOG,699.6937181727409,695.849976,695.849976,708.400024,693.580017,701.450012,2009300.0,GOOG,706.4632695392078,-6.769551366466885,-8.826585819048942,0.0,2.057034452582057
2016-02-24,699.559998,699.559998,700.0,680.780029,688.919983,1963600.0,GOOG,699.673145838473,699.559998,699.559998,700.0,680.780029,688.919983,1963600.0,GOOG,705.9519160918591,-6.278770253386028,-8.31702270591636,0.0,2.0382524525303314
2016-02-25,705.75,705.75,705.97998,690.585022,700.01001,1642200.0,GOOG,700.6080464787079,705.75,705.75,705.97998,690.585022,700.01001,1642200.0,GOOG,705.9369593443139,-5.3289128656059574,-7.719400737854279,0.0,2.390487872248322
2016-02-26,705.070007,705.070007,713.429993,700.859985,708.580017,2243500.0,GOOG,701.294501943522,705.070007,705.070007,713.429993,700.859985,708.580017,2243500.0,GOOG,705.8727406521425,-4.578238708620461,-7.091168332007515,0.0,2.5129296233870546
2016-02-29,697.77002,697.77002,710.890015,697.679993,700.320007,2481100.0,GOOG,700.752273952211,697.77002,697.77002,710.890015,697.679993,700.320007,2481100.0,GOOG,705.2725391223541,-4.520265170143148,-6.576987699634642,0.0,2.056722529491494
2016-03-01,718.809998,718.809998,718.809998,699.77002,703.619995,2151400.0,GOOG,703.5303853441785,718.809998,718.809998,718.809998,699.77002,703.619995,2151400.0,GOOG,706.2753138540317,-2.744928509853139,-5.810575861678341,0.0,3.065647351825202
2016-03-02,718.849976,718.849976,720.0,712.0,719.0,1629000.0,GOOG,705.8872454450741,718.849976,718.849976,720.0,712.0,719.0,1629000.0,GOOG,707.2067703092886,-1.3195248642144861,-4.91236566218557,0.0,3.5928407979710837
2016-03-03,712.419983,712.419983,719.450012,706.02002,718.679993,1958000.0,GOOG,706.8922819919858,712.419983,712.419983,719.450012,706.02002,718.679993,1958000.0,GOOG,707.5929342123043,-0.7006522203184886,-4.070022973812153,0.0,3.3693707534936648
2016-03-04,710.890015,710.890015,716.48999,706.02002,714.98999,1972100.0,GOOG,707.5073178393726,710.890015,710.890015,716.48999,706.02002,714.98999,1972100.0,GOOG,707.8371624188003,-0.32984457942768586,-3.32198729493526,0.0,2.992142715507574
2016-03-07,695.159973,695.159973,708.091003,686.900024,706.900024,2985100.0,GOOG,705.6077263256229,695.159973,695.159973,708.091003,686.900024,706.900024,2985100.0,GOOG,706.898111350741,-1.2903850251180984,-2.9156668409718276,0.0,1.6252818158537292
2016-03-08,693.969971,693.969971,703.789978,685.340027,688.590027,2076300.0,GOOG,703.8173024293733,693.969971,693.969971,703.789978,685.340027,688.590027,2076300.0,GOOG,705.9404713247602,-2.123168895386925,-2.757167251854847,0.0,0.6339983564679219
2016-03-09,705.23999,705.23999,705.679993,694.0,698.469971,1421500.0,GOOG,704.0361774402389,705.23999,705.23999,705.679993,694.0,698.469971,1421500.0,GOOG,705.8885838192224,-1.85240637898346,-2.57621507728057,0.0,0.7238086982971099
2016-03-10,712.820007,712.820007,716.440002,703.359985,708.119995,2833500.0,GOOG,705.3875358340483,712.820007,712.820007,716.440002,703.359985,708.119995,2833500.0,GOOG,706.4020225733541,-1.0144867393057666,-2.263869409685609,0.0,1.2493826703798425
2016-03-11,726.820007,726.820007,726.919983,717.125,720.0,1970800.0,GOOG,708.6848390903485,726.820007,726.820007,726.919983,717.125,720.0,1970800.0,GOOG,707.9144658642167,0.7703732261318237,-1.6570208825221227,0.0,2.4273941086539463
2016-03-14,730.48999,730.48999,735.5,725.150024,726.809998,1718300.0,GOOG,712.0394776918333,730.48999,730.48999,735.5,725.150024,726.809998,1718300.0,GOOG,709.5867269113118,2.452750780521569,-0.8350665499133844,0.0,3.2878173304349536
2016-03-15,728.330017,728.330017,732.289978,724.77002,726.919983,1721000.0,GOOG,714.5457145084744,728.330017,728.330017,732.289978,724.77002,726.919983,1721000.0,GOOG,710.9751187697331,3.5705957387413036,0.046065907817553264,0.0,3.5245298309237505
